72:72:0.0:b'password#STA:TxTest;TM:1556949025;DISK:7194608.43;PPT:59.6;SQ:16.NET:1#\n'
72:72:0.0:b'password#STA:TxTest;TM:1556949092;DISK:7194572.43;PPT:59.6;SQ:16.;NET:1\n'
73:73:0.0:b'password#STA:TxTest;TM:1556949302;DISK:7194516.43;PPT:60.7;SQ:16.;NET:1#\n'
73:73:0.0:b'password#STA:TxTest;TM:1556950204;DISK:7194312.43;PPT:60.1;SQ:16.;NET:1#\n'
72:72:0.0:b'password#STA:TxTest;TM:1556950232;DISK:7194288.43;PPT:58.;SQ:16.;NET:2#\n'
73:73:0.0:b'password#STA:TxTest;TM:1556950429;DISK:7194044.43;PPT:60.7;SQ:16.;NET:1#\n'
73:73:0.0:b'password#STA:TxTest;TM:1556950457;DISK:7194032.43;PPT:58.5;SQ:17.;NET:2#\n'
73:73:0.0:b'password#STA:TxTest;TM:1556950663;DISK:7194016.43;PPT:60.7;SQ:16.;NET:1#\n'
72:72:0.0:b'password#STA:TxTest;TM:1556950689;DISK:7194008.43;PPT:58.;SQ:16.;NET:2#\n'
73:73:0.0:b'password#STA:TxTest;TM:1556951027;DISK:7193116.43;PPT:60.1;SQ:17.;NET:1#\n'
73:73:0.0:b'password#STA:TxTest;TM:1556952505;DISK:7180592.43;PPT:60.7;SQ:17.;NET:1#\n'
73:73:0.0:b'password#STA:TxTest;TM:1556952532;DISK:7180540.43;PPT:59.1;SQ:17.;NET:2#\n'
73:73:0.0:b'password#STA:TxTest;TM:1556952551;DISK:7180560.43;PPT:58.5;SQ:17.;NET:3#\n'
73:73:0.0:b'password#STA:TxTest;TM:1556952579;DISK:7180548.43;PPT:59.1;SQ:17.;NET:4#\n'
74:74:0.0:b'password#STA:TxTest;TM:1556952959;DISK:7180508.43;PPT:59.1;SQ:17.;NET:10#\n'
74:74:0.0:b'password#STA:TxTest;TM:1556953039;DISK:7180488.43;PPT:60.1;SQ:18.;NET:20#\n'
74:74:0.0:b'password#STA:TxTest;TM:1556953154;DISK:7180468.43;PPT:60.1;SQ:18.;NET:30#\n'
74:74:0.0:b'password#STA:TxTest;TM:1556953220;DISK:7180120.43;PPT:63.4;SQ:17.;NET:40#\n'
73:73:0.0:b'password#STA:TxTest;TM:1556953708;DISK:7179832.43;PPT:60.7;SQ:17.;NET:1#\n'
72:72:0.0:b'password#STA:TxTest;TM:1556953735;DISK:7179848.43;PPT:58.;SQ:18.;NET:2#\n'
72:72:0.0:b'password#STA:TxTest;TM:1556953754;DISK:7179836.43;PPT:58.;SQ:18.;NET:3#\n'
72:72:0.0:b'password#STA:TxTest;TM:1556953783;DISK:7179816.43;PPT:58.;SQ:18.;NET:4#\n'
73:73:0.0:b'password#STA:TxTest;TM:1556953803;DISK:7179832.43;PPT:58.;SQ:18.;NET:10#\n'
73:73:0.0:b'password#STA:TxTest;TM:1556953831;DISK:7179824.43;PPT:58.;SQ:18.;NET:20#\n'
73:73:0.0:b'password#STA:TxTest;TM:1556953851;DISK:7179808.43;PPT:58.;SQ:18.;NET:30#\n'
73:73:0.0:b'password#STA:TxTest;TM:1556953880;DISK:7179796.43;PPT:58.;SQ:18.;NET:40#\n'
74:74:0.0:b'password#STA:TxTest;TM:1556953901;DISK:7179784.43;PPT:57.5;SQ:18.;NET:11#\n'
74:74:0.0:b'password#STA:TxTest;TM:1556953929;DISK:7179804.43;PPT:57.5;SQ:18.;NET:21#\n'
73:73:0.0:b'password#STA:TxTest;TM:1556953950;DISK:7179796.43;PPT:58.;SQ:18.;NET:31#\n'
73:73:0.0:b'password#STA:TxTest;TM:1556953979;DISK:7179776.43;PPT:58.;SQ:18.;NET:41#\n'
67:67:0.0:b'password#STA:TxTest;TM:1557002574;DISK:7176108.43;PPT:58.5;NET:30#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557002595;DISK:7176096.43;PPT:55.8;SQ:16.;NET:40#\n'
